samplename At_percent Ps_percent unannotated Ps_atleast1read
106.NOR_1967_S28 0.509 0.01208 0.48500 0.00172
107.NOR_1968 0.421 0.00034 0.57830 0.04893
108.NOR_1976 0.767 0.00095 0.23218 0.05356
109.NOR_1990 0.042 0.07493 0.88608 0.91698
110.NOR_1992 0.611 0.00085 0.38832 0.06606
111.NOR_1994 0.665 0.00077 0.33413 0.02284
112.NOR_1995_S22 0.849 0.00613 0.14944 0.00220
113.NOR_1995_S35 0.574 0.00010 0.42513 0.00912
114.NOR_2003 0.675 0.00226 0.32395 0.03677
115.NPL_1952 0.326 0.00161 0.67229 0.11810
116.POL_1895_S10 0.381 0.00239 0.61722 0.09434
117.POL_2007_S5 0.838 0.00030 0.16187 0.00629
118.PRT_1954 0.446 0.00991 0.54826 0.36228
119.PRT_1971 0.636 0.00136 0.36287 0.00626
120.RUS_1860 0.194 0.03258 0.77892 0.88565
121.RUS_1885_S16 0.433 0.00083 0.56554 0.04202
122.RUS_1906_S7 0.862 0.00754 0.13629 0.01279
123.RUS_1907_S11 0.615 0.00058 0.38417 0.03637
124.RUS_1909_S40 0.736 0.01012 0.26082 0.35356
125.RUS_1912_S16 0.515 0.00021 0.48436 0.02408
126.RUS_1917_S29 0.103 0.00468 0.89191 0.13917
127.RUS_1926_S28 0.813 0.00008 0.18607 0.00245
128.RUS_1927_S31 0.765 0.00017 0.23470 0.00438
129.RUS_1950_S10 0.870 0.00046 0.12903 0.01227
130.RUS_1960_S9 0.503 0.00048 0.49631 0.02967
131.RUS_1974_S24 0.891 0.00051 0.10854 0.00825
132.RWA_1974_S49 0.820 0.00525 0.17878 0.00103
133.SP_1897 0.319 0.00026 0.68078 0.01161
134.TZA_1894_S43 0.787 0.00441 0.21146 0.00078
135.TZA_1908_S47 0.873 0.00040 0.12671 0.00645
136.TZA_1953_S47 0.804 0.00519 0.19435 0.00090
137.TZA_1985_S38 0.843 0.00590 0.15509 0.00046
138.TZA_2011_S34 0.488 0.00011 0.51120 0.00033
139.UKR_1902_S18 0.391 0.00083 0.60757 0.03887
140.UKR_1952_S24 0.045 0.00097 0.95353 0.00039
141.US_1986_S54 0.909 0.01141 0.08984 0.00027
142.US_2010_S56 0.924 0.01390 0.07426 0.00064
143.ZAF_1917_S6 0.477 0.00020 0.52270 0.01679
