samplename At_percent Ps_percent unannotated Ps_atleast1read
107.NOR_1968 0.331 0.00023 0.66854 0.04370
108.NOR_1976 0.576 0.00038 0.42306 0.04417
109.NOR_1990 0.030 0.07342 0.89843 0.91419
110.NOR_1992 0.468 0.00052 0.53077 0.06131
111.NOR_1994 0.504 0.00038 0.49522 0.01919
112.NOR_1995_S22 0.653 0.00004 0.34614 0.00212
113.NOR_1995_S35 0.631 0.00013 0.36844 0.00903
114.NOR_2003 0.493 0.00104 0.50556 0.02786
115.NPL_1952 0.248 0.00106 0.75068 0.09383
116.POL_1895_S10 0.305 0.00211 0.69269 0.09386
117.POL_2007_S5 0.663 0.00012 0.33675 0.00626
118.PRT_1954 0.333 0.00629 0.66246 0.32251
119.PRT_1971 0.499 0.00008 0.50086 0.00495
120.RUS_1860 0.147 0.02979 0.82710 0.88223
121.RUS_1885_S16 0.338 0.00057 0.66115 0.03693
122.RUS_1906_S7 0.699 0.00020 0.30030 0.01270
123.RUS_1907_S11 0.493 0.00043 0.50589 0.03616
124.RUS_1909_S40 0.583 0.00636 0.41356 0.35147
125.RUS_1912_S16 0.398 0.00016 0.60109 0.02379
126.RUS_1917_S29 0.081 0.00450 0.91427 0.13775
127.RUS_1926_S28 0.649 0.00003 0.35028 0.00230
128.RUS_1927_S31 0.617 0.00008 0.38230 0.00408
129.RUS_1950_S10 0.678 0.00016 0.32109 0.01205
130.RUS_1960_S9 0.386 0.00034 0.61298 0.02828
131.RUS_1974_S24 0.715 0.00016 0.28418 0.00819
132.RWA_1974_S49 0.627 0.00001 0.37208 0.00101
133.SP_1897 0.232 0.00020 0.76693 0.01035
134.TZA_1894_S43 0.573 0.00001 0.42656 0.00073
135.TZA_1908_S47 0.669 0.00015 0.33051 0.00632
136.TZA_1953_S47 0.585 0.00002 0.41493 0.00081
137.TZA_1985_S38 0.630 00 0.36983 0.00039
138.TZA_2011_S34 0.333 0.00005 0.66652 0.00022
139.UKR_1902_S18 0.308 0.00054 0.69112 0.03051
140.UKR_1952_S24 0.024 00 0.97516 0.00036
141.US_1986_S54 0.723 00 0.27613 0.00025
142.US_2010_S56 0.699 0.00001 0.30003 0.00061
143.ZAF_1917_S6 0.312 0.00013 0.68780 0.01604
