samplename At_percent Ps_percent unannotated Ps_atleast1read	averagedepth
61.GBR_1918_S17 0.311 0.00009 0.68799 0.00665	0.00741036
62.GBR_1921 0.586 0.00075 0.41322 0.02984	0.0468207
63.GBR_1933a_S43 0.600 0.00012 0.39923 0.00529	0.00802621
64.GBR_1933b_S36 0.349 0.06974 0.60487 0.85899	9.44291
65.GBR_1953_S18 0.087 0.00264 0.91029 0.22671	0.488136
66.GBR_1967_S13 0.660 0.00845 0.33703 0.43451	0.84673
67.GBR_2008_S17 0.454 0.00007 0.54508 0.00292	0.00403221
68.ITA_1973_S11 0.587 0.00018 0.41272 0.01859	0.0267102
69.KAZ_1914_S32 0.615 0.00004 0.38407 0.00186	0.00296394
70.KAZ_1921_S1 0.567 0.00023 0.43266 0.01542	0.027292
71.KAZ_1956_S8 0.684 0.00001 0.31511 0.00122	0.00149914
72.KEN_1935_S42 0.553 0.00002 0.44608 0.00071	0.00191167
73.KEN_1967_S36 0.307 0.00147 0.69170 0.07377	0.221142
74.KEN_1997_S41 0.617 0.00021 0.38228 0.01081	0.0189763
75.LTU_1894_S30 0.389 0.05246 0.57853 0.88838	6.90683
76.LTU_2009_S19 0.003 0.23891 0.75833 0.87176	74.808
77.MAR_1981 0.194 0.00289 0.80305 0.46971	0.888904
78.NLD_1960_S12 0.261 0.00057 0.73835 0.04073	0.0484028
79.NOR_1898a 0.449 0.00038 0.54994 0.04872	0.0581805
80.NOR_1898_S26 0.625 0.00005 0.37448 0.00275	0.00344464
81.NOR_1899 0.509 0.00216 0.48933 0.28660	0.493484
82.NOR_1905 0.509 0.00105 0.49012 0.10666	0.139001
83.NOR_1906_S9 0.643 0.00173 0.35559 0.10430	0.139829
84.NOR_1907_S24 0.662 0.00011 0.33712 0.00661	0.00927877
85.NOR_1908 0.368 0.00151 0.63032 0.08485	0.232531
86.NOR_1911_S7 0.308 0.00669 0.68711 0.67204	1.96574
87.NOR_1912 0.225 0.00059 0.77433 0.03029	0.032993
88.NOR_1912_S13 0.320 0.00004 0.67959 0.00311	0.00345002
89.NOR_1916 0.550 0.00031 0.44978 0.01853	0.0219641
90.NOR_1918_S2 0.568 0.00005 0.43187 0.00279	0.00473928
91.NOR_1925 0.481 0.00003 0.51867 0.00303	0.00379607
92.NOR_1927_S25 0.523 0.00008 0.47647 0.00565	0.00839582
93.NOR_1928_S6 0.588 0.01027 0.40734 0.37332	0.673908
94.NOR_1929 0.561 0.00044 0.43853 0.04366	0.0615605
95.NOR_1934 0.392 0.00439 0.60469 0.47610	0.915902
96.NOR_1935 0.425 0.00040 0.57453 0.02248	0.024661
97.NOR_1935_S3 0.683 0.00361 0.31509 0.12852	0.162697
98.NOR_1942 0.356 0.00048 0.64354 0.03169	0.0346416
99.NOR_1949a 0.434 0.00095 0.56454 0.09488	0.116031
100.NOR_1949_S5 0.664 0.00056 0.33490 0.03164	0.0475634
101.NOR_1952 0.490 0.00034 0.50887 0.03218	0.0417022
102.NOR_1954_S21 0.677 0.00007 0.32254 0.00716	0.00916533
103.NOR_1955_S42 0.367 0.00689 0.62776 0.00133	0.00156596
104.NOR_1956 0.025 0.00482 0.97002 0.19936	1.83984
105.NOR_1966 0.416 0.00177 0.58206 0.09067	0.20255
106.NOR_1967_S28 0.402 0.00858 0.59202 0.00169	0.00211448
107.NOR_1968 0.331 0.00023 0.66854 0.04370	0.0550987
108.NOR_1976 0.576 0.00038 0.42306 0.04417	0.0506763
