samplename At_percent Ps_percent unannotated Ps_atleast1read	averagedepth
109.NOR_1990 0.030 0.07342 0.89843 0.91419	33.1416
110.NOR_1992 0.468 0.00052 0.53077 0.06131	0.0805467
111.NOR_1994 0.504 0.00038 0.49522 0.01919	0.0229959
112.NOR_1995_S22 0.653 0.00004 0.34614 0.00212	0.00283064
113.NOR_1995_S35 0.631 0.00013 0.36844 0.00903	0.0104009
114.NOR_2003 0.493 0.00104 0.50556 0.02786	0.0306373
115.NPL_1952 0.248 0.00106 0.75068 0.09383	0.116295
116.POL_1895_S10 0.305 0.00211 0.69269 0.09386	0.295796
117.POL_2007_S5 0.663 0.00012 0.33675 0.00626	0.00810313
118.PRT_1954 0.333 0.00629 0.66246 0.32251	0.810927
119.PRT_1971 0.499 0.00008 0.50086 0.00495	0.00590752
120.RUS_1860 0.147 0.02979 0.82710 0.88223	7.95602
121.RUS_1885_S16 0.338 0.00057 0.66115 0.03693	0.0456127
122.RUS_1906_S7 0.699 0.00020 0.30030 0.01270	0.0174341
123.RUS_1907_S11 0.493 0.00043 0.50589 0.03616	0.0625838
124.RUS_1909_S40 0.583 0.00636 0.41356 0.35147	0.657432
125.RUS_1912_S16 0.398 0.00016 0.60109 0.02379	0.0327875
126.RUS_1917_S29 0.081 0.00450 0.91427 0.13775	0.706066
127.RUS_1926_S28 0.649 0.00003 0.35028 0.00230	0.00301242
128.RUS_1927_S31 0.617 0.00008 0.38230 0.00408	0.00555121
129.RUS_1950_S10 0.678 0.00016 0.32109 0.01205	0.01577
130.RUS_1960_S9 0.386 0.00034 0.61298 0.02828	0.0338664
131.RUS_1974_S24 0.715 0.00016 0.28418 0.00819	0.0119941
132.RWA_1974_S49 0.627 0.00001 0.37208 0.00101	0.00140169
133.SP_1897 0.232 0.00020 0.76693 0.01035	0.012286
134.TZA_1894_S43 0.573 0.00001 0.42656 0.00073	0.00112734
135.TZA_1908_S47 0.669 0.00015 0.33051 0.00632	0.00981013
136.TZA_1953_S47 0.585 0.00002 0.41493 0.00081	0.00217894
137.TZA_1985_S38 0.630 00 0.36983 0.00039	0.000570908
138.TZA_2011_S34 0.333 0.00005 0.66652 0.00022	0.000245228
139.UKR_1902_S18 0.308 0.00054 0.69112 0.03051	0.0339524
140.UKR_1952_S24 0.024 00 0.97516 0.00036	0.00054381
141.US_1986_S54 0.723 00 0.27613 0.00025	0.000471605
142.US_2010_S56 0.699 0.00001 0.30003 0.00061	0.000735179
143.ZAF_1917_S6 0.312 0.00013 0.68780 0.01604	0.0203103
HB0702 0.473 0.00026 0.52662 0.00701	0.0107989
HB0711 0.524 0.00117 0.47530 0.02660	0.0335866
HB0713 0.469 0.00093 0.52970 0.05758	0.0644458
HB0715 0.487 0.00090 0.51246 0.06346	0.0713164
HB0717 0.650 0.00101 0.34916 0.00664	0.0116186
HB0718 0.363 0.00111 0.63576 0.08503	0.103751
HB0719 0.535 0.00092 0.46416 0.02165	0.0278747
HB0722 0.315 0.00127 0.68339 0.06595	0.0996024
HB0725 0.625 0.00565 0.37272 0.19997	0.239106
HB0729 0.406 0.00184 0.59250 0.14687	0.172017
HB0732 0.627 0.00067 0.37226 0.01003	0.0147024
HB0737 0.408 0.06760 0.55171 0.90610	9.60207
HB0742 0.293 0.00192 0.70562 0.18798	0.226001
HB0749 0.611 0.00336 0.38758 0.16147	0.185227
HB0750 0.586 0.00056 0.41370 0.01254	0.0159447
HB0752 0.631 0.00090 0.36797 0.01507	0.0204164
HB0754 0.556 0.00083 0.44290 0.03367	0.0396071
HB0756 0.666 0.00076 0.33302 0.00412	0.00838353
HB0757 0.295 0.00161 0.70314 0.16584	0.236033
HB0759 0.646 0.00027 0.35326 0.00280	0.00403137
HB0764 0.525 0.00039 0.47453 0.00683	0.0111472
HB0766 0.489 0.05702 0.48110 0.88564	8.28284
HB0768 0.550 0.00048 0.44918 0.00528	0.00953359
HB0808 0.551 0.01305 0.44292 0.60285	1.0745
HB0814 0.192 0.02324 0.78827 0.94136	9.11284
HB0817 0.669 0.00040 0.32989 0.00113	0.0036902
HB0818 0.576 0.00033 0.42289 0.00812	0.0112657
HB0819 0.464 0.00062 0.53484 0.02417	0.029085
HB0821 0.553 0.00099 0.44562 0.04432	0.0505809
HB0822 0.605 0.00090 0.39406 0.01091	0.0148411
HB0826 0.543 0.00622 0.45348 0.47328	0.722423
HB0828 0.391 0.00887 0.60353 0.73974	1.79468
HB0830 0.630 0.00067 0.36919 0.00970	0.0138898
HB0840 0.497 0.01517 0.49509 0.76939	1.82104
HB0841 0.494 0.01464 0.49851 0.73872	1.63355
HB0862 0.045 0.00262 0.95237 0.11370	0.265912
HB0863 0.232 0.00730 0.76165 0.65603	1.56511
